Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.04388828659221045	46.35711594396946	0.03029	0.03176	4.68373	96.1
7943.0	0.03879594050928525	42.66013882227888	0.02853	0.02629	4.68373	96.1
6310.0	0.03465059018256399	38.41448145055352	0.02715	0.02153	4.68373	96.1
5012.0	0.03134916426318252	33.93338176860041	0.02601	0.0175	4.68373	96.1
3981.0	0.02857428389303921	29.13055957315894	0.02496	0.01391	4.68373	96.1
3162.0	0.027147132445251007	24.41251389486941	0.02472	0.01122	4.68373	96.1
2512.0	0.02584747523453693	19.730466902826617	0.02433	0.008726	4.68373	96.1
1995.0	0.02471034133718108	15.941892429023522	0.02376	0.006787	4.68373	96.1
1585.0	0.024241002784538432	12.014528048828167	0.02371	0.005046	4.68373	96.1
1259.0	0.024068937325939427	8.573140306647113	0.0238	0.003588	4.68373	96.1
1000.0	0.024060799321718306	5.7437657713064265	0.02394	0.002408	4.68373	96.1
794.3	0.024192359558339902	3.391076731524789	0.02415	0.001431	4.68373	96.1
631.0	0.02462567825340045	1.2304366540039489	0.02462	0.0005288	4.68373	96.1
501.2	0.024930127750095867	-0.18342400887760218	0.02493	-7.981e-05	4.68373	96.1
398.1	0.025246356613380868	-1.2857611099726485	0.02524	-0.0005665	4.68373	96.1
316.2	0.025558371763670706	-2.1725635157501255	0.02554	-0.0009689	4.68373	96.1
251.2	0.025902392264036154	-2.8657190683185854	0.02587	-0.001295	4.68373	96.1
199.5	0.026267501613210193	-3.4462588556750258	0.02622	-0.001579	4.68373	96.1
158.5	0.026611082353034797	-3.8828207997367827	0.02655	-0.001802	4.68373	96.1
125.9	0.026983923287765256	-4.242041542403807	0.02691	-0.001996	4.68373	96.1
100.0	0.027375033077605585	-4.517173118685752	0.02729	-0.002156	4.68373	96.1
79.43	0.02778727098870992	-4.795491416794807	0.02769	-0.002323	4.68373	96.1
63.1	0.028187201634784536	-4.9986196467903	0.02808	-0.002456	4.68373	96.1
52.0	0.02855597382335262	-5.165545868871555	0.02844	-0.002571	4.68373	96.1
39.81	0.028915862861066413	-5.347810483141707	0.02879	-0.002695	4.68373	96.1
31.62	0.02929555981714635	-5.514038918796523	0.02916	-0.002815	4.68373	96.1
25.12	0.029697681121596008	-5.716352317617461	0.02955	-0.002958	4.68373	96.1
19.95	0.030082545254682156	-5.958860723527941	0.02992	-0.003123	4.68373	96.1
15.85	0.03043449056580379	-6.311917658545571	0.03025	-0.003346	4.68373	96.1
12.59	0.030875434911916626	-6.772390311137985	0.03066	-0.003641	4.68373	96.1
10.0	0.031234226883340654	-7.315230257015415	0.03098	-0.003977	4.68373	96.1
7.943	0.03172451142255779	-7.944927739122708	0.03142	-0.004385	4.68373	96.1
6.31	0.03220726781333679	-8.660953078659901	0.03184	-0.00485	4.68373	96.1
5.012	0.032866862049791126	-9.564348888301344	0.03241	-0.005461	4.68373	96.1
3.981	0.03361333254826126	-10.689810987822993	0.03303	-0.006235	4.68373	96.1
3.162	0.034494298499897054	-11.92398894114708	0.03375	-0.007127	4.68373	96.1
2.512	0.03562967792444944	-13.04632483307694	0.03471	-0.008043	4.68373	96.1
1.995	0.036834085695181845	-14.442940202459164	0.03567	-0.009187	4.68373	96.1
1.585	0.038447399131800834	-15.771400678070357	0.037	-0.01045	4.68373	96.1
1.259	0.04028471794613933	-16.973065243195	0.03853	-0.01176	4.68373	96.1
1.0	0.04253690280215521	-18.021775506767156	0.04045	-0.01316	4.68373	96.1
0.7943	0.04500497416952931	-19.050922158004234	0.04254	-0.01469	4.68373	96.1
0.631	0.047752626105796524	-19.29627488295804	0.04507	-0.01578	4.68373	96.1
0.5012	0.05072814800483061	-19.256465419903105	0.04789	-0.01673	4.68373	96.1
0.3981	0.05384000835809742	-18.956569995685356	0.05092	-0.01749	4.68373	96.1
0.3162	0.056908686507421695	-18.237553608701216	0.05405	-0.01781	4.68373	96.1
0.2512	0.05993125144697047	-17.42816583430767	0.05718	-0.01795	4.68373	96.1
0.1995	0.06279844345204744	-16.475525901800385	0.06022	-0.01781	4.68373	96.1
0.1585	0.06541388002557257	-15.417211636092041	0.06306	-0.01739	4.68373	96.1
0.1259	0.06786064028580926	-14.429417526753763	0.06572	-0.01691	4.68373	96.1
0.1	0.07008512538335078	-13.600029876146321	0.06812	-0.01648	4.68373	96.1
0.07943	0.07213456660991317	-12.807082568827521	0.07034	-0.01599	4.68373	96.1
0.0631	0.07397783789757578	-12.18942052387147	0.07231	-0.01562	4.68373	96.1
0.05012	0.07581394067056534	-11.843507710507986	0.0742	-0.01556	4.68373	96.1
0.03981	0.07755690813847597	-11.573619275462605	0.07598	-0.01556	4.68373	96.1
0.03162	0.07927149298455279	-11.64446118045051	0.07764	-0.016	4.68373	96.1
0.02512	0.08085197647553212	-11.81164861077863	0.07914	-0.01655	4.68373	96.1
0.01995	0.08271717898961498	-12.32745700960922	0.08081	-0.01766	4.68373	96.1
0.01585	0.08445833588225617	-13.160888544085815	0.08224	-0.01923	4.68373	96.1
0.01259	0.08646421976748533	-14.179281722706008	0.08383	-0.02118	4.68373	96.1
0.01	0.08906229954363407	-15.45937080872745	0.08584	-0.02374	4.68373	96.1
