Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.04201031420972711	44.5853096282263	0.02992	0.02949	4.86503	100.0
7943.0	0.037317462400329425	41.21914513044619	0.02807	0.02459	4.86503	100.0
6310.0	0.033474803957603695	37.26699413908381	0.02664	0.02027	4.86503	100.0
5012.0	0.030351425007732337	33.2240881833056	0.02539	0.01663	4.86503	100.0
3981.0	0.02770642705222021	28.711134828811705	0.0243	0.01331	4.86503	100.0
3162.0	0.02637418813916364	24.339676145342818	0.02403	0.01087	4.86503	100.0
2512.0	0.025132188145881768	20.10990480982945	0.0236	0.008641	4.86503	100.0
1995.0	0.023956970509644994	16.754222215837487	0.02294	0.006906	4.86503	100.0
1585.0	0.023437488538663863	13.287972665405757	0.02281	0.005387	4.86503	100.0
1259.0	0.023178030459898875	10.223923403225802	0.02281	0.004114	4.86503	100.0
1000.0	0.023016870790791698	7.687584349078193	0.02281	0.003079	4.86503	100.0
794.3	0.022992924476890712	5.680838888146602	0.02288	0.002276	4.86503	100.0
631.0	0.02323904432200257	3.723053475518945	0.02319	0.001509	4.86503	100.0
501.2	0.023343134343956472	2.551070811081969	0.02332	0.001039	4.86503	100.0
398.1	0.02343975568217382	1.6531222662813614	0.02343	0.0006762	4.86503	100.0
316.2	0.023533401369330357	0.9741535241484728	0.02353	0.0004001	4.86503	100.0
251.2	0.02365052777423794	0.38277372027180445	0.02365	0.000158	4.86503	100.0
199.5	0.02377000089887186	-0.015756941574871897	0.02377	-6.537e-06	4.86503	100.0
158.5	0.023860324292850673	-0.2987229836115432	0.02386	-0.0001244	4.86503	100.0
125.9	0.023970868069387894	-0.48761188292491736	0.02397	-0.000204	4.86503	100.0
100.0	0.02408135969603876	-0.608863707034446	0.02408	-0.0002559	4.86503	100.0
79.43	0.024201653505700804	-0.6697618893607824	0.0242	-0.0002829	4.86503	100.0
63.1	0.02429188479225109	-0.7137425296576976	0.02429	-0.0003026	4.86503	100.0
52.0	0.024362831074405126	-0.8734812776636177	0.02436	-0.0003714	4.86503	100.0
39.81	0.024421713586274	-0.6787425727127014	0.02442	-0.0002893	4.86503	100.0
31.62	0.02446150563558997	-0.6357087679474992	0.02446	-0.0002714	4.86503	100.0
25.12	0.024511448799489598	-0.6229589370200711	0.02451	-0.0002665	4.86503	100.0
19.95	0.02455131186800412	-0.5923075691151641	0.02455	-0.0002538	4.86503	100.0
15.85	0.024581336206357864	-0.5974115587232955	0.02458	-0.0002563	4.86503	100.0
12.59	0.024581172632931896	-0.559653342141056	0.02458	-0.0002401	4.86503	100.0
10.0	0.02462111199763325	-0.5445495010085897	0.02462	-0.000234	4.86503	100.0
7.943	0.024640887216372708	-0.486211847123502	0.02464	-0.0002091	4.86503	100.0
6.31	0.02465103600256995	-0.5252934428760105	0.02465	-0.000226	4.86503	100.0
5.012	0.02472150962704341	-0.6331945673884632	0.02472	-0.0002732	4.86503	100.0
3.981	0.024751658171726598	-0.6632124317333307	0.02475	-0.0002865	4.86503	100.0
3.162	0.024712114901197752	-0.7496021299055579	0.02471	-0.0003233	4.86503	100.0
2.512	0.02477226929633214	-0.7755390225708394	0.02477	-0.0003353	4.86503	100.0
1.995	0.024823057590877076	-0.8992990564100135	0.02482	-0.0003896	4.86503	100.0
1.585	0.024913704183842277	-0.9880299877332505	0.02491	-0.0004296	4.86503	100.0
1.259	0.024964884106280165	-1.1333720195524044	0.02496	-0.0004938	4.86503	100.0
1.0	0.025024886218522554	-1.132257181823188	0.02502	-0.0004945	4.86503	100.0
0.7943	0.025099051296811996	-1.5387831877721228	0.02509	-0.000674	4.86503	100.0
0.631	0.025148259984539685	-1.4685379177033029	0.02514	-0.0006445	4.86503	100.0
0.5012	0.02523132846284555	-1.7169961229761181	0.02522	-0.000756	4.86503	100.0
0.3981	0.025333235747531345	-1.85218961850431	0.02532	-0.0008188	4.86503	100.0
0.3162	0.025413928969956614	-1.8970599828830423	0.0254	-0.0008413	4.86503	100.0
0.2512	0.025505979049822807	-2.028218698024115	0.02549	-0.0009027	4.86503	100.0
0.1995	0.025631189281810553	-2.3299215248179963	0.02561	-0.001042	4.86503	100.0
0.1585	0.025732673782566783	-2.405409689540465	0.02571	-0.00108	4.86503	100.0
0.1259	0.025837649370637417	-2.6508947906439277	0.02581	-0.001195	4.86503	100.0
0.1	0.026005481422192514	-2.993333332723458	0.02597	-0.001358	4.86503	100.0
0.07943	0.02614504075345839	-3.3636295518159933	0.0261	-0.001534	4.86503	100.0
0.0631	0.026355597526901187	-3.7222480328132774	0.0263	-0.001711	4.86503	100.0
0.05012	0.026539253116845622	-4.140067565598018	0.02647	-0.001916	4.86503	100.0
0.03981	0.02674330428350244	-4.787482905299999	0.02665	-0.002232	4.86503	100.0
0.03162	0.0270261560159783	-5.314005672605417	0.02691	-0.002503	4.86503	100.0
0.02512	0.027302429580533673	-6.057227319862396	0.02715	-0.002881	4.86503	100.0
0.01995	0.02765731187226987	-7.0196650029231344	0.02745	-0.00338	4.86503	100.0
0.01585	0.028045307985472365	-8.03475875178094	0.02777	-0.00392	4.86503	100.0
0.01259	0.02848984031194278	-8.988204841940428	0.02814	-0.004451	4.86503	100.0
0.01	0.0291128635657848	-10.119136199000854	0.02866	-0.005115	4.86503	100.0
