Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.04365521503783941	47.0049977732878	0.02977	0.03193	4.62258	95.05
7943.0	0.03858864729424964	43.35142899167241	0.02806	0.02649	4.62258	95.05
6310.0	0.03442939006139958	39.07044913231391	0.02673	0.0217	4.62258	95.05
5012.0	0.031098471023508534	34.69165782566919	0.02557	0.0177	4.62258	95.05
3981.0	0.028310996096923186	29.870392113735253	0.02455	0.0141	4.62258	95.05
3162.0	0.026871520239837566	25.220416299324786	0.02431	0.01145	4.62258	95.05
2512.0	0.025557285243155228	20.683566630753226	0.02391	0.009027	4.62258	95.05
1995.0	0.024359499912765044	16.960580998696106	0.0233	0.007106	4.62258	95.05
1585.0	0.023853072778994323	13.229929350746952	0.02322	0.005459	4.62258	95.05
1259.0	0.02362290253123015	9.916091721489503	0.02327	0.004068	4.62258	95.05
1000.0	0.023515894645962335	7.209029911196472	0.02333	0.002951	4.62258	95.05
794.3	0.023550357131050054	5.020639665809627	0.02346	0.002061	4.62258	95.05
631.0	0.023862188101680868	2.976315808594054	0.02383	0.001239	4.62258	95.05
501.2	0.02403043203939538	1.6883293194508295	0.02402	0.000708	4.62258	95.05
398.1	0.02420180162901101	0.699115867521111	0.0242	0.0002953	4.62258	95.05
316.2	0.024370035284358944	-0.09749912527471807	0.02437	-4.147e-05	4.62258	95.05
251.2	0.024552007983055072	-0.7327858990632687	0.02455	-0.000314	4.62258	95.05
199.5	0.024735781997745693	-1.238859989096806	0.02473	-0.0005348	4.62258	95.05
158.5	0.024910060666525884	-1.6284642640064988	0.0249	-0.0007079	4.62258	95.05
125.9	0.025104652512233663	-1.957661927950713	0.02509	-0.0008576	4.62258	95.05
100.0	0.025299065674447348	-2.224532491458155	0.02528	-0.000982	4.62258	95.05
79.43	0.02554271577182035	-2.416573644084107	0.02552	-0.001077	4.62258	95.05
63.1	0.02573761768307238	-2.654519505092451	0.02571	-0.001192	4.62258	95.05
52.0	0.02583323634390395	-2.9067080759266046	0.0258	-0.00131	4.62258	95.05
39.81	0.02611771063856861	-3.0793162217540577	0.02608	-0.001403	4.62258	95.05
31.62	0.026343887336534068	-3.307711500799274	0.0263	-0.00152	4.62258	95.05
25.12	0.02658951831079307	-3.4972987185585467	0.02654	-0.001622	4.62258	95.05
19.95	0.026807247173106008	-3.7451210608552374	0.02675	-0.001751	4.62258	95.05
15.85	0.02710520689830646	-3.9750733026214338	0.02704	-0.001879	4.62258	95.05
12.59	0.027442611482874583	-4.168918172640612	0.02737	-0.001995	4.62258	95.05
10.0	0.02781483634681319	-4.20390686953666	0.02774	-0.002039	4.62258	95.05
7.943	0.028161351547821706	-4.356105574167082	0.02808	-0.002139	4.62258	95.05
6.31	0.028592464042121308	-4.352598246241269	0.02851	-0.00217	4.62258	95.05
5.012	0.02894447313391626	-4.1110029035610065	0.02887	-0.002075	4.62258	95.05
3.981	0.02929015322595633	-3.9663163650337236	0.02922	-0.002026	4.62258	95.05
3.162	0.029603503914232856	-3.7535653803569415	0.02954	-0.001938	4.62258	95.05
2.512	0.029875671189113058	-3.4983358967531624	0.02982	-0.001823	4.62258	95.05
1.995	0.030168558483958097	-3.2512560984264556	0.03012	-0.001711	4.62258	95.05
1.585	0.030345711805788968	-3.1452682214682595	0.0303	-0.001665	4.62258	95.05
1.259	0.03058341447582333	-3.053256668343246	0.03054	-0.001629	4.62258	95.05
1.0	0.03077527138791793	-2.743401972167977	0.03074	-0.001473	4.62258	95.05
0.7943	0.030917190299249383	-2.810580321284443	0.03088	-0.001516	4.62258	95.05
0.631	0.031108142021020798	-2.837571599278011	0.03107	-0.00154	4.62258	95.05
0.5012	0.031224199285169826	-2.6818849119479413	0.03119	-0.001461	4.62258	95.05
0.3981	0.031404516936262526	-2.686565775020053	0.03137	-0.001472	4.62258	95.05
0.3162	0.031574986872523005	-2.6974829746022317	0.03154	-0.001486	4.62258	95.05
0.2512	0.03172715437917495	-2.773125120641969	0.03169	-0.001535	4.62258	95.05
0.1995	0.031901465107421006	-2.921600063241309	0.03186	-0.001626	4.62258	95.05
0.1585	0.032097469136989604	-3.1164591688739423	0.03205	-0.001745	4.62258	95.05
0.1259	0.03228351071367549	-3.2993442340827825	0.03223	-0.001858	4.62258	95.05
0.1	0.03252580858333887	-3.6453405122522353	0.03246	-0.002068	4.62258	95.05
0.07943	0.032764213953641555	-3.8571146521222235	0.03269	-0.002204	4.62258	95.05
0.0631	0.033030838681450396	-4.25023380193285	0.03294	-0.002448	4.62258	95.05
0.05012	0.033399474606646135	-4.640269515010573	0.03329	-0.002702	4.62258	95.05
0.03981	0.0337025384207184	-5.0829945935431216	0.03357	-0.002986	4.62258	95.05
0.03162	0.03412170458813568	-5.58026859651018	0.03396	-0.003318	4.62258	95.05
0.02512	0.03456954701757025	-6.159174884100448	0.03437	-0.003709	4.62258	95.05
0.01995	0.03506896732155083	-6.6925607587908065	0.03483	-0.004087	4.62258	95.05
0.01585	0.035607156148729426	-7.281491459627869	0.03532	-0.004513	4.62258	95.05
0.01259	0.03622471737639923	-8.02474768775004	0.03587	-0.005057	4.62258	95.05
0.01	0.03693127352258516	-8.866001578539935	0.03649	-0.005692	4.62258	95.05
