Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.041587451232312854	41.28572091673002	0.03125	0.02744	3.91807	80.46
7943.0	0.03735752936156244	38.020260707173684	0.02943	0.02301	3.91807	80.46
6310.0	0.033813028554094356	34.1882382734878	0.02797	0.019	3.91807	80.46
5012.0	0.03097730298137654	30.17389188940143	0.02678	0.01557	3.91807	80.46
3981.0	0.02854293783057378	25.927659680602446	0.02567	0.01248	3.91807	80.46
3162.0	0.027380798016128017	21.871353434736356	0.02541	0.0102	3.91807	80.46
2512.0	0.026242603319792796	17.916433515824316	0.02497	0.008073	3.91807	80.46
1995.0	0.02516916615623172	14.836835896388328	0.02433	0.006445	3.91807	80.46
1585.0	0.024708100392381444	11.639646182918716	0.0242	0.004985	3.91807	80.46
1259.0	0.024501160299055226	8.841814560191672	0.02421	0.003766	3.91807	80.46
1000.0	0.024386460669806105	6.493791018717593	0.02423	0.002758	3.91807	80.46
794.3	0.02438944831274377	4.625907496100511	0.02431	0.001967	3.91807	80.46
631.0	0.024660444541816352	2.847322046514444	0.02463	0.001225	3.91807	80.46
501.2	0.024791389673836355	1.736838616271854	0.02478	0.0007514	3.91807	80.46
398.1	0.024922935345781404	0.8793705791611873	0.02492	0.0003825	3.91807	80.46
316.2	0.025050134047595436	0.1874400151900679	0.02505	8.195e-05	3.91807	80.46
251.2	0.02520048099719527	-0.3540015616833444	0.0252	-0.0001557	3.91807	80.46
199.5	0.025352488379644315	-0.8027664363825512	0.02535	-0.0003552	3.91807	80.46
158.5	0.025485041644266543	-1.1396938791091793	0.02548	-0.0005069	3.91807	80.46
125.9	0.025657686645525937	-1.4025170567259075	0.02565	-0.000628	3.91807	80.46
100.0	0.025830357062185567	-1.6225766795987964	0.02582	-0.0007314	3.91807	80.46
79.43	0.026021988472059547	-1.7392659020561487	0.02601	-0.0007898	3.91807	80.46
63.1	0.026213523143789733	-1.8404856598962918	0.0262	-0.0008419	3.91807	80.46
52.0	0.026445370147721508	-1.9535424944290198	0.02643	-0.0009015	3.91807	80.46
39.81	0.026536913484616103	-2.045747559438189	0.02652	-0.0009473	3.91807	80.46
31.62	0.02670554630053465	-1.9551113503884432	0.02669	-0.0009111	3.91807	80.46
25.12	0.02691538103092728	-1.9370943336126585	0.0269	-0.0009098	3.91807	80.46
19.95	0.027073387517819045	-1.8019148282835022	0.02706	-0.0008513	3.91807	80.46
15.85	0.027182223750274737	-1.7183580016554572	0.02717	-0.0008151	3.91807	80.46
12.59	0.02726060447037079	-1.598190189723836	0.02725	-0.0007603	3.91807	80.46
10.0	0.027369385431353768	-1.5005298442174273	0.02736	-0.0007167	3.91807	80.46
7.943	0.027506983695781695	-1.2911241084033094	0.0275	-0.0006198	3.91807	80.46
6.31	0.027558702005900063	-1.4398901674137854	0.02755	-0.0006925	3.91807	80.46
5.012	0.027657445270487295	-1.3294793086457537	0.02765	-0.0006417	3.91807	80.46
3.981	0.027726052522672608	-1.1972083100091988	0.02772	-0.0005793	3.91807	80.46
3.162	0.027785251772118245	-1.114012950183875	0.02778	-0.0005402	3.91807	80.46
2.512	0.027835084407991293	-1.095136278972226	0.02783	-0.000532	3.91807	80.46
1.995	0.027956420028501502	-1.2279300888160323	0.02795	-0.0005991	3.91807	80.46
1.585	0.027985760608566636	-1.1625474976452415	0.02798	-0.0005678	3.91807	80.46
1.259	0.028085543683539403	-1.1384201437075947	0.02808	-0.000558	3.91807	80.46
1.0	0.028086347722870626	-1.218167910418903	0.02808	-0.0005971	3.91807	80.46
0.7943	0.028170047129708536	-1.5303041526995218	0.02816	-0.0007523	3.91807	80.46
0.631	0.028230785821333416	-1.5838592517306977	0.02822	-0.0007803	3.91807	80.46
0.5012	0.028353310912307934	-1.7557256069322726	0.02834	-0.0008687	3.91807	80.46
0.3981	0.028393124418422146	-1.7421590519502639	0.02838	-0.0008632	3.91807	80.46
0.3162	0.028475555643569097	-1.8939359637711466	0.02846	-0.0009411	3.91807	80.46
0.2512	0.02856879059393309	-2.078192451818905	0.02855	-0.001036	3.91807	80.46
0.1995	0.028724536010177777	-2.368339778606473	0.0287	-0.001187	3.91807	80.46
0.1585	0.028762124069685813	-2.7082132717332934	0.02873	-0.001359	3.91807	80.46
0.1259	0.028940313215305737	-3.024545777922345	0.0289	-0.001527	3.91807	80.46
0.1	0.02906291638841498	-3.4580323281263614	0.02901	-0.001753	3.91807	80.46
0.07943	0.02929664699244608	-3.865461169851747	0.02923	-0.001975	3.91807	80.46
0.0631	0.02950706059572861	-4.40242851955674	0.02942	-0.002265	3.91807	80.46
0.05012	0.02980723034768578	-5.08322444297906	0.02969	-0.002641	3.91807	80.46
0.03981	0.03011327375095574	-5.591319397763232	0.02997	-0.002934	3.91807	80.46
0.03162	0.030476473303189134	-6.509395204757531	0.03028	-0.003455	3.91807	80.46
0.02512	0.03086087213608844	-7.310623010885191	0.03061	-0.003927	3.91807	80.46
0.01995	0.031352791518459724	-8.355463488704416	0.03102	-0.004556	3.91807	80.46
0.01585	0.0318888144025456	-9.516081662025524	0.03145	-0.005272	3.91807	80.46
0.01259	0.032537274255843865	-10.902420420155627	0.03195	-0.006154	3.91807	80.46
0.01	0.03335741440819417	-12.313813076837699	0.03259	-0.007114	3.91807	80.46
