Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.040130104659718994	41.555284280044894	0.03003	0.02662	4.43276	90.95
7943.0	0.03607527823870524	38.30262892291183	0.02831	0.02236	4.43276	90.95
6310.0	0.03260435553725913	34.655142518524805	0.02682	0.01854	4.43276	90.95
5012.0	0.029842628905644354	30.77607491886808	0.02564	0.01527	4.43276	90.95
3981.0	0.027418668822537684	26.537015403986995	0.02453	0.01225	4.43276	90.95
3162.0	0.026259285976583596	22.50237662321616	0.02426	0.01005	4.43276	90.95
2512.0	0.025111752228787223	18.600897600638277	0.0238	0.00801	4.43276	90.95
1995.0	0.02399133278915534	15.489083739353328	0.02312	0.006407	4.43276	90.95
1585.0	0.023513006528302585	12.33745069814403	0.02297	0.005024	4.43276	90.95
1259.0	0.023256209579379006	9.459082000509706	0.02294	0.003822	4.43276	90.95
1000.0	0.02310916017513401	7.139162543478893	0.02293	0.002872	4.43276	90.95
794.3	0.023076026716053178	5.228822151743175	0.02298	0.002103	4.43276	90.95
631.0	0.02333108561554734	3.40078211672134	0.02329	0.001384	4.43276	90.95
501.2	0.023408465480676002	2.275935864574192	0.02339	0.0009296	4.43276	90.95
398.1	0.02349664090801066	1.3622559138083066	0.02349	0.0005586	4.43276	90.95
316.2	0.023581476696975533	0.6412097102004638	0.02358	0.0002639	4.43276	90.95
251.2	0.02369000617159058	0.041357436028405824	0.02369	1.71e-05	4.43276	90.95
199.5	0.02381063870121925	-0.41966422737808484	0.02381	-0.0001744	4.43276	90.95
158.5	0.023902452546966806	-0.8207838034582038	0.0239	-0.0003424	4.43276	90.95
125.9	0.02401485767186639	-1.152441874510753	0.02401	-0.000483	4.43276	90.95
100.0	0.024147376052896515	-1.416203698787229	0.02414	-0.0005968	4.43276	90.95
79.43	0.024300671678165606	-1.6980901615109887	0.02429	-0.0007201	4.43276	90.95
63.1	0.02443377359496482	-1.9239173666752851	0.02442	-0.0008203	4.43276	90.95
52.0	0.02453619036117873	-2.0815469765390118	0.02452	-0.0008912	4.43276	90.95
39.81	0.02473183416166298	-2.407740534802038	0.02471	-0.001039	4.43276	90.95
31.62	0.024906057917703475	-2.621155943591963	0.02488	-0.001139	4.43276	90.95
25.12	0.02509241369418255	-2.9125771481817626	0.02506	-0.001275	4.43276	90.95
19.95	0.025316555847903165	-3.079399408500179	0.02528	-0.00136	4.43276	90.95
15.85	0.025511582389181584	-3.2717691891475384	0.02547	-0.001456	4.43276	90.95
12.59	0.025864349904840055	-3.355793819977835	0.02582	-0.001514	4.43276	90.95
10.0	0.02610388417458214	-3.3227670220360284	0.02606	-0.001513	4.43276	90.95
7.943	0.026367501284725484	-3.439703755140554	0.02632	-0.001582	4.43276	90.95
6.31	0.026695912140250987	-3.360789249002939	0.02665	-0.001565	4.43276	90.95
5.012	0.02694410289840803	-3.278676656593265	0.0269	-0.001541	4.43276	90.95
3.981	0.027216186525668873	-2.9549189226486035	0.02718	-0.001403	4.43276	90.95
3.162	0.027403076761560917	-2.8154197446662144	0.02737	-0.001346	4.43276	90.95
2.512	0.027610198858392887	-2.680018044311383	0.02758	-0.001291	4.43276	90.95
1.995	0.027776936998164505	-2.5235107245848454	0.02775	-0.001223	4.43276	90.95
1.585	0.02789134598759981	-2.2417579680983977	0.02787	-0.001091	4.43276	90.95
1.259	0.028046903518213914	-1.9893240694709144	0.02803	-0.0009736	4.43276	90.95
1.0	0.02814823385223307	-2.0624086296495436	0.02813	-0.001013	4.43276	90.95
0.7943	0.028245843304812123	-2.4511365211856146	0.02822	-0.001208	4.43276	90.95
0.631	0.028332863321591763	-2.3019255241074563	0.02831	-0.001138	4.43276	90.95
0.5012	0.028392535304195714	-2.282947817689813	0.02837	-0.001131	4.43276	90.95
0.3981	0.028592456854911928	-2.270987734823142	0.02857	-0.001133	4.43276	90.95
0.3162	0.028674331047122963	-2.360489629966122	0.02865	-0.001181	4.43276	90.95
0.2512	0.028805973842243208	-2.4333080161739993	0.02878	-0.001223	4.43276	90.95
0.1995	0.028969004401256184	-2.5641240951844066	0.02894	-0.001296	4.43276	90.95
0.1585	0.029153060628345696	-2.728928485969104	0.02912	-0.001388	4.43276	90.95
0.1259	0.029249417498473367	-2.974899740148437	0.02921	-0.001518	4.43276	90.95
0.1	0.029478026121163542	-3.271042355187692	0.02943	-0.001682	4.43276	90.95
0.07943	0.029655777244914694	-3.5146298796490894	0.0296	-0.001818	4.43276	90.95
0.0631	0.02992967225012663	-3.9102169349923854	0.02986	-0.002041	4.43276	90.95
0.05012	0.030150517474829518	-4.18824438328582	0.03007	-0.002202	4.43276	90.95
0.03981	0.03053424865622208	-4.735903929034428	0.03043	-0.002521	4.43276	90.95
0.03162	0.030851380131203206	-5.084129741948636	0.03073	-0.002734	4.43276	90.95
0.02512	0.031223492757857824	-5.4951347062635305	0.03108	-0.00299	4.43276	90.95
0.01995	0.03165301604902762	-5.993372859442407	0.03148	-0.003305	4.43276	90.95
0.01585	0.03208429061082698	-6.625749281068482	0.03187	-0.003702	4.43276	90.95
0.01259	0.03252866022448511	-7.2303208805002415	0.03227	-0.004094	4.43276	90.95
0.01	0.033088388431593334	-7.828647645742946	0.03278	-0.004507	4.43276	90.95
