Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.040344626655850965	41.855262907075044	0.03005	0.02692	4.8846	100.0
7943.0	0.03617949281015421	38.4347418154248	0.02834	0.02249	4.8846	100.0
6310.0	0.032723279175534956	34.61763706198639	0.02693	0.01859	4.8846	100.0
5012.0	0.02994969281979366	30.520832856121245	0.0258	0.01521	4.8846	100.0
3981.0	0.027527095742195543	26.053079771377995	0.02473	0.01209	4.8846	100.0
3162.0	0.026413309618448046	21.767170589565417	0.02453	0.009795	4.8846	100.0
2512.0	0.025313318648490166	17.588161980626502	0.02413	0.007649	4.8846	100.0
1995.0	0.024278493033959087	14.264047109071688	0.02353	0.005982	4.8846	100.0
1585.0	0.023888441054200255	10.867771596106557	0.02346	0.004504	4.8846	100.0
1259.0	0.023739529081260227	7.797993233447064	0.02352	0.003221	4.8846	100.0
1000.0	0.023721863670462317	5.3116373796603416	0.02362	0.002196	4.8846	100.0
794.3	0.02383848392830383	3.256090414191792	0.0238	0.001354	4.8846	100.0
631.0	0.024206053079550163	1.2813650698513004	0.0242	0.0005413	4.8846	100.0
501.2	0.02445000733585984	0.044383715620285084	0.02445	1.894e-05	4.8846	100.0
398.1	0.024703199909323487	-0.922220024126616	0.0247	-0.0003976	4.8846	100.0
316.2	0.024950863520928488	-1.6908142578676715	0.02494	-0.0007362	4.8846	100.0
251.2	0.025221122576126544	-2.3450881948527296	0.0252	-0.001032	4.8846	100.0
199.5	0.025522419477784622	-2.8881895919492093	0.02549	-0.001286	4.8846	100.0
158.5	0.025793130500193263	-3.3138922723535273	0.02575	-0.001491	4.8846	100.0
125.9	0.02611377462183512	-3.6776131325788475	0.02606	-0.001675	4.8846	100.0
100.0	0.026443052490209975	-3.9574851394600543	0.02638	-0.001825	4.8846	100.0
79.43	0.026802790451742147	-4.223603765091159	0.02673	-0.001974	4.8846	100.0
63.1	0.027141131313930155	-4.431249008422178	0.02706	-0.002097	4.8846	100.0
52.0	0.02745707786710013	-4.564352826537395	0.02737	-0.002185	4.8846	100.0
39.81	0.027787020351235935	-4.789327184901989	0.02769	-0.00232	4.8846	100.0
31.62	0.02811616227368166	-4.980597684684456	0.02801	-0.002441	4.8846	100.0
25.12	0.02842479206608203	-5.150995648575784	0.02831	-0.002552	4.8846	100.0
19.95	0.02876005431149253	-5.450909236701569	0.02863	-0.002732	4.8846	100.0
15.85	0.029089762872873338	-5.816424837220945	0.02894	-0.002948	4.8846	100.0
12.59	0.029452826621565543	-6.210006513358174	0.02928	-0.003186	4.8846	100.0
10.0	0.029767779913859885	-6.77359346290039	0.02956	-0.003511	4.8846	100.0
7.943	0.030238964945910433	-7.5038662992212855	0.02998	-0.003949	4.8846	100.0
6.31	0.030745746453777957	-8.21838951841412	0.03043	-0.004395	4.8846	100.0
5.012	0.03131996534161556	-9.050897540177015	0.03093	-0.004927	4.8846	100.0
3.981	0.03201254810226765	-10.063759556209604	0.03152	-0.005594	4.8846	100.0
3.162	0.03285650354191693	-11.11670722138644	0.03224	-0.006335	4.8846	100.0
2.512	0.03385366449883971	-12.192868216694269	0.03309	-0.00715	4.8846	100.0
1.995	0.035110129364614995	-13.217720163301474	0.03418	-0.008028	4.8846	100.0
1.585	0.03650466277066534	-14.195364164376503	0.03539	-0.008952	4.8846	100.0
1.259	0.03814721321407371	-14.926579674559655	0.03686	-0.009826	4.8846	100.0
1.0	0.039966188209535326	-15.514134902488781	0.03851	-0.01069	4.8846	100.0
0.7943	0.04189280129091393	-16.24598087761325	0.04022	-0.01172	4.8846	100.0
0.631	0.04402165376266548	-16.170658975739265	0.04228	-0.01226	4.8846	100.0
0.5012	0.04616973575839481	-15.824367866441285	0.04442	-0.01259	4.8846	100.0
0.3981	0.04825515205654211	-15.45610454592995	0.04651	-0.01286	4.8846	100.0
0.3162	0.050326692718675646	-14.875682001638797	0.04864	-0.01292	4.8846	100.0
0.2512	0.05226713307615025	-14.334019316122095	0.05064	-0.01294	4.8846	100.0
0.1995	0.054149036002499616	-13.78217892459982	0.05259	-0.0129	4.8846	100.0
0.1585	0.05586098191045338	-13.267535974129943	0.05437	-0.01282	4.8846	100.0
0.1259	0.05748322885851142	-12.866117632246814	0.05604	-0.0128	4.8846	100.0
0.1	0.05901171748051399	-12.646756432465347	0.05758	-0.01292	4.8846	100.0
0.07943	0.06056709089926641	-12.636544989924483	0.0591	-0.01325	4.8846	100.0
0.0631	0.06199809109964597	-12.747328316093279	0.06047	-0.01368	4.8846	100.0
0.05012	0.0633958105871358	-13.203259758178246	0.06172	-0.01448	4.8846	100.0
0.03981	0.06490054314102464	-13.826408971545366	0.06302	-0.01551	4.8846	100.0
0.03162	0.06641448110163928	-14.938085745987687	0.06417	-0.01712	4.8846	100.0
0.02512	0.06812920152181441	-16.27231492262098	0.0654	-0.01909	4.8846	100.0
0.01995	0.07025716831754608	-18.153849220846723	0.06676	-0.02189	4.8846	100.0
0.01585	0.07251067921347862	-20.429344188182473	0.06795	-0.02531	4.8846	100.0
0.01259	0.07550790488419076	-23.087994502393407	0.06946	-0.02961	4.8846	100.0
0.01	0.07968132654518247	-26.240259587830238	0.07147	-0.03523	4.8846	100.0
