Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.04003076941553835	42.317014658701055	0.0296	0.02695	4.45534	91.53
7943.0	0.035786205442879804	38.97736474750867	0.02782	0.02251	4.45534	91.53
6310.0	0.03231791144241843	35.07190221917773	0.02645	0.01857	4.45534	91.53
5012.0	0.029557822991553354	31.060163612884978	0.02532	0.01525	4.45534	91.53
3981.0	0.02708331774358526	26.442058444319645	0.02425	0.01206	4.45534	91.53
3162.0	0.025928296685281894	22.119428860405115	0.02402	0.009763	4.45534	91.53
2512.0	0.02484298162459571	17.828142134136666	0.02365	0.007606	4.45534	91.53
1995.0	0.023798086057496306	14.40411795911591	0.02305	0.00592	4.45534	91.53
1585.0	0.023404825763077154	10.80342172947867	0.02299	0.004387	4.45534	91.53
1259.0	0.02328779113612968	7.659676801325928	0.02308	0.003104	4.45534	91.53
1000.0	0.023301680733372004	5.084234149541627	0.02321	0.002065	4.45534	91.53
794.3	0.02345128825885691	2.9600106469188248	0.02342	0.001211	4.45534	91.53
631.0	0.02387394331085671	1.0413867227239253	0.02387	0.0004339	4.45534	91.53
501.2	0.024150128168239606	-0.18666732845590966	0.02415	-7.868e-05	4.45534	91.53
398.1	0.02442451097483837	-1.101200952660518	0.02442	-0.0004694	4.45534	91.53
316.2	0.024702204293544333	-1.8011255223004463	0.02469	-0.0007764	4.45534	91.53
251.2	0.024991316972100528	-2.3666644773816703	0.02497	-0.001032	4.45534	91.53
199.5	0.025279892029041583	-2.7865736363388387	0.02525	-0.001229	4.45534	91.53
158.5	0.025547895823335432	-3.121112574767593	0.02551	-0.001391	4.45534	91.53
125.9	0.025834636130590265	-3.3685443925791674	0.02579	-0.001518	4.45534	91.53
100.0	0.02613026597644961	-3.55445009646717	0.02608	-0.00162	4.45534	91.53
79.43	0.02643568847221498	-3.719642813354868	0.02638	-0.001715	4.45534	91.53
63.1	0.02672164283871783	-3.8925203428904367	0.02666	-0.001814	4.45534	91.53
52.0	0.026945524377899942	-3.9965367446272126	0.02688	-0.001878	4.45534	91.53
39.81	0.02725481102484477	-4.246178383938664	0.02718	-0.002018	4.45534	91.53
31.62	0.027531435778033807	-4.407962931431294	0.02745	-0.002116	4.45534	91.53
25.12	0.027789057720620895	-4.588307971646197	0.0277	-0.002223	4.45534	91.53
19.95	0.02806418814076046	-4.93861287061677	0.02796	-0.002416	4.45534	91.53
15.85	0.028371880956327165	-5.312721943513048	0.02825	-0.002627	4.45534	91.53
12.59	0.028705646552551294	-5.774147399460533	0.02856	-0.002888	4.45534	91.53
10.0	0.029071487904818356	-6.226363401079967	0.0289	-0.003153	4.45534	91.53
7.943	0.0295316142633619	-6.863192517494484	0.02932	-0.003529	4.45534	91.53
6.31	0.030077853979298453	-7.507785873250108	0.02982	-0.00393	4.45534	91.53
5.012	0.030753934203610438	-8.061862700158551	0.03045	-0.004313	4.45534	91.53
3.981	0.03154821763586653	-8.762455476710825	0.03118	-0.004806	4.45534	91.53
3.162	0.03244520266541727	-9.176069238432643	0.03203	-0.005174	4.45534	91.53
2.512	0.03350832686064764	-9.38305048936242	0.03306	-0.005463	4.45534	91.53
1.995	0.034628185413041794	-9.432400612974998	0.03416	-0.005675	4.45534	91.53
1.585	0.03571043707377439	-9.109922288178954	0.03526	-0.005654	4.45534	91.53
1.259	0.03675284180849149	-8.699582072761396	0.03633	-0.005559	4.45534	91.53
1.0	0.03765755341229698	-7.901804377444338	0.0373	-0.005177	4.45534	91.53
0.7943	0.03841533835592236	-7.462080192659374	0.03809	-0.004989	4.45534	91.53
0.631	0.03910735001249765	-6.703417448253041	0.03884	-0.004565	4.45534	91.53
0.5012	0.03962518739387866	-5.973888515087375	0.03941	-0.004124	4.45534	91.53
0.3981	0.04012421619172143	-5.341163493910652	0.03995	-0.003735	4.45534	91.53
0.3162	0.040442162949080755	-4.805526283104726	0.0403	-0.003388	4.45534	91.53
0.2512	0.040791342659932145	-4.420466490391968	0.04067	-0.003144	4.45534	91.53
0.1995	0.041088570491074526	-4.166090420550438	0.04098	-0.002985	4.45534	91.53
0.1585	0.041376824926521366	-3.9204630401184852	0.04128	-0.002829	4.45534	91.53
0.1259	0.04160225307600539	-3.8163651300553765	0.04151	-0.002769	4.45534	91.53
0.1	0.0418800564111368	-3.758107278650348	0.04179	-0.002745	4.45534	91.53
0.07943	0.042145123086781935	-3.850247549275512	0.04205	-0.00283	4.45534	91.53
0.0631	0.04246504238782766	-4.0308227958866505	0.04236	-0.002985	4.45534	91.53
0.05012	0.04285167941866456	-4.318819861411813	0.04273	-0.003227	4.45534	91.53
0.03981	0.04316116940028387	-4.635320384494776	0.04302	-0.003488	4.45534	91.53
0.03162	0.04356560598683324	-4.99736921010954	0.0434	-0.003795	4.45534	91.53
0.02512	0.044085011784051956	-5.391167193247148	0.04389	-0.004142	4.45534	91.53
0.01995	0.044595806977786596	-5.894683544453305	0.04436	-0.00458	4.45534	91.53
0.01585	0.04520215991520759	-6.517822776948804	0.04491	-0.005131	4.45534	91.53
0.01259	0.045900429420649216	-7.084451437375728	0.04555	-0.005661	4.45534	91.53
0.01	0.04658820455866485	-7.774249807658605	0.04616	-0.006302	4.45534	91.53
