Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.040961744347622696	43.54590377214845	0.02969	0.02822	4.88264	100.0
7943.0	0.0366079021524042	40.20235270151867	0.02796	0.02363	4.88264	100.0
6310.0	0.03287767631691753	36.29131289693377	0.0265	0.01946	4.88264	100.0
5012.0	0.02990586898921347	32.186126392492525	0.02531	0.01593	4.88264	100.0
3981.0	0.02740732931170055	27.817933615002094	0.02424	0.01279	4.88264	100.0
3162.0	0.02616203356010385	23.566677187166594	0.02398	0.01046	4.88264	100.0
2512.0	0.02495608080208108	19.394060878371114	0.02354	0.008287	4.88264	100.0
1995.0	0.02385005241084388	16.140087946102014	0.02291	0.00663	4.88264	100.0
1585.0	0.023355993342180935	12.75098639346945	0.02278	0.005155	4.88264	100.0
1259.0	0.023106151323835825	9.785187705404379	0.02277	0.003927	4.88264	100.0
1000.0	0.022975921940152914	7.293899482484866	0.02279	0.002917	4.88264	100.0
794.3	0.022948690071548743	5.315586303483511	0.02285	0.002126	4.88264	100.0
631.0	0.023223270419990377	3.4981542179488496	0.02318	0.001417	4.88264	100.0
501.2	0.02332967775173931	2.3534313234742315	0.02331	0.000958	4.88264	100.0
398.1	0.02343798885591509	1.4960017077760406	0.02343	0.0006119	4.88264	100.0
316.2	0.0235322957590202	0.8003356485937371	0.02353	0.0003287	4.88264	100.0
251.2	0.023650225599135415	0.2502586209285848	0.02365	0.0001033	4.88264	100.0
199.5	0.023770058708570747	-0.12734249253734659	0.02377	-5.283e-05	4.88264	100.0
158.5	0.02387051368446016	-0.3758856450536764	0.02387	-0.0001566	4.88264	100.0
125.9	0.023981218044336283	-0.5774779391138678	0.02398	-0.0002417	4.88264	100.0
100.0	0.024091780557069665	-0.6966005367405012	0.02409	-0.0002929	4.88264	100.0
79.43	0.024232097173789973	-0.7538110027524849	0.02423	-0.0003188	4.88264	100.0
63.1	0.024332295198768242	-0.7869726816511314	0.02433	-0.0003342	4.88264	100.0
52.0	0.024451489648076658	-0.6324541023516702	0.02445	-0.0002699	4.88264	100.0
39.81	0.02445206528782385	-0.7446860288269558	0.02445	-0.0003178	4.88264	100.0
31.62	0.024501852617506294	-0.7045856388173708	0.0245	-0.0003013	4.88264	100.0
25.12	0.024531532476386387	-0.640434098808018	0.02453	-0.0002742	4.88264	100.0
19.95	0.024551185830627407	-0.563137531842569	0.02455	-0.0002413	4.88264	100.0
15.85	0.024631328296297786	-0.5950358699863939	0.02463	-0.0002558	4.88264	100.0
12.59	0.024621044621217843	-0.5277950946432665	0.02462	-0.0002268	4.88264	100.0
10.0	0.02465114508009719	-0.552253778083349	0.02465	-0.0002376	4.88264	100.0
7.943	0.02464145960043763	-0.6236250502303582	0.02464	-0.0002682	4.88264	100.0
6.31	0.02477124748493705	-0.5750202893953185	0.02477	-0.0002486	4.88264	100.0
5.012	0.02475174612022352	-0.6805724015307719	0.02475	-0.000294	4.88264	100.0
3.981	0.024762018949189103	-0.7316615788777157	0.02476	-0.0003162	4.88264	100.0
3.162	0.024742097987842503	-0.7461461826321063	0.02474	-0.0003222	4.88264	100.0
2.512	0.02484292021502303	-0.8785125654659233	0.02484	-0.0003809	4.88264	100.0
1.995	0.02485271728101376	-0.8472701862853597	0.02485	-0.0003675	4.88264	100.0
1.585	0.024933452268187814	-0.953462676461903	0.02493	-0.0004149	4.88264	100.0
1.259	0.02500498950709638	-1.1446173803099573	0.025	-0.0004995	4.88264	100.0
1.0	0.02503623911872548	-1.2791566389919353	0.02503	-0.0005589	4.88264	100.0
0.7943	0.02511002004160889	-1.6186885923415406	0.0251	-0.0007093	4.88264	100.0
0.631	0.025169771983273904	-1.5966267422072327	0.02516	-0.0007013	4.88264	100.0
0.5012	0.02529113778085122	-1.7004690035283818	0.02528	-0.0007505	4.88264	100.0
0.3981	0.02537189425801708	-1.75447356607514	0.02536	-0.0007768	4.88264	100.0
0.3162	0.025484504784083994	-1.9331954566277625	0.02547	-0.0008597	4.88264	100.0
0.2512	0.025596954745633317	-2.085513926175341	0.02558	-0.0009315	4.88264	100.0
0.1995	0.02570113157041923	-2.3235774632429607	0.02568	-0.001042	4.88264	100.0
0.1585	0.02581319306091364	-2.429004519033672	0.02579	-0.001094	4.88264	100.0
0.1259	0.02591041151738042	-2.7762719627643357	0.02588	-0.001255	4.88264	100.0
0.1	0.026066449393808894	-3.0303477286691822	0.02603	-0.001378	4.88264	100.0
0.07943	0.02622484488038013	-3.3511935239970554	0.02618	-0.001533	4.88264	100.0
0.0631	0.026387101489174593	-3.770021720842863	0.02633	-0.001735	4.88264	100.0
0.05012	0.026560505567477438	-4.175680727197221	0.02649	-0.001934	4.88264	100.0
0.03981	0.026752935988410692	-4.77715870514877	0.02666	-0.002228	4.88264	100.0
0.03162	0.027102222067572245	-5.443438731750213	0.02698	-0.002571	4.88264	100.0
0.02512	0.027334589973145747	-6.0964483690528475	0.02718	-0.002903	4.88264	100.0
0.01995	0.02768114811564	-6.9114139197890445	0.02748	-0.003331	4.88264	100.0
0.01585	0.028094631319880315	-7.870241672808769	0.02783	-0.003847	4.88264	100.0
0.01259	0.02857951777059928	-8.969916796280563	0.02823	-0.004456	4.88264	100.0
0.01	0.029102539820434915	-10.228775209036542	0.02864	-0.005168	4.88264	100.0
