Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.04178546756947923	44.36976214855337	0.02987	0.02922	4.89218	100.0
7943.0	0.03716432294553474	40.995935806967005	0.02805	0.02438	4.89218	100.0
6310.0	0.03336652963674826	37.19272605082701	0.02658	0.02017	4.89218	100.0
5012.0	0.030360111989253268	33.145705953272596	0.02542	0.0166	4.89218	100.0
3981.0	0.027660095806052443	28.622031898960138	0.02428	0.01325	4.89218	100.0
3162.0	0.026342733343371942	24.346751854704923	0.024	0.01086	4.89218	100.0
2512.0	0.02508868870626761	20.170609663526772	0.02355	0.008651	4.89218	100.0
1995.0	0.023897790692865316	16.781915441650952	0.02288	0.0069	4.89218	100.0
1585.0	0.023375606858432575	13.391816485688512	0.02274	0.005414	4.89218	100.0
1259.0	0.023073181163420012	10.318839142364732	0.0227	0.004133	4.89218	100.0
1000.0	0.02293173087666956	7.791947790478452	0.02272	0.003109	4.89218	100.0
794.3	0.022863865399358876	5.720567204570058	0.02275	0.002279	4.89218	100.0
631.0	0.023121542963219388	3.8264375211016364	0.02307	0.001543	4.89218	100.0
501.2	0.023204041372140327	2.6083925102091476	0.02318	0.001056	4.89218	100.0
398.1	0.023279346471926567	1.6236432922763384	0.02327	0.0006596	4.89218	100.0
316.2	0.023372691588475637	0.8695444028876345	0.02337	0.0003547	4.89218	100.0
251.2	0.023470233979234208	0.25583970113049515	0.02347	0.0001048	4.89218	100.0
199.5	0.02360020975012722	-0.2415634018188781	0.0236	-9.95e-05	4.89218	100.0
158.5	0.0237013912300523	-0.6208008605714626	0.0237	-0.0002568	4.89218	100.0
125.9	0.023823195756237238	-0.9384892409620192	0.02382	-0.0003902	4.89218	100.0
100.0	0.02395500791149942	-1.171589200671361	0.02395	-0.0004898	4.89218	100.0
79.43	0.0241275313250237	-1.43162139142933	0.02412	-0.0006028	4.89218	100.0
63.1	0.024278758914120794	-1.5390849108718183	0.02427	-0.0006521	4.89218	100.0
52.0	0.02434849700166316	-1.5137251738847604	0.02434	-0.0006432	4.89218	100.0
39.81	0.02456035737199278	-1.664026889881534	0.02455	-0.0007132	4.89218	100.0
31.62	0.02469147844581203	-1.7471188635267785	0.02468	-0.0007528	4.89218	100.0
25.12	0.024830595242361787	-1.6738439105996055	0.02482	-0.0007253	4.89218	100.0
19.95	0.024960511022212667	-1.6628329144595984	0.02495	-0.0007243	4.89218	100.0
15.85	0.02506004852668885	-1.6226034107251106	0.02505	-0.0007096	4.89218	100.0
12.59	0.025208072445349724	-1.4500465960357105	0.0252	-0.0006379	4.89218	100.0
10.0	0.02525720392759262	-1.3684848298757977	0.02525	-0.0006032	4.89218	100.0
7.943	0.02532799646557145	-1.4397850987990555	0.02532	-0.0006364	4.89218	100.0
6.31	0.02541696998149071	-1.3418423040470602	0.02541	-0.0005952	4.89218	100.0
5.012	0.025436031632509033	-1.2477827317092203	0.02543	-0.0005539	4.89218	100.0
3.981	0.025515565492655656	-1.1967260167869662	0.02551	-0.0005329	4.89218	100.0
3.162	0.025585226057434005	-1.1580771238720187	0.02558	-0.0005171	4.89218	100.0
2.512	0.02565592176165183	-1.2310555046193399	0.02565	-0.0005512	4.89218	100.0
1.995	0.025736976136290758	-1.3340624461460246	0.02573	-0.0005992	4.89218	100.0
1.585	0.02579708356093766	-1.3427281081600722	0.02579	-0.0006045	4.89218	100.0
1.259	0.02583788796631799	-1.4158025751027656	0.02583	-0.0006384	4.89218	100.0
1.0	0.025949998691522126	-1.5905762399902836	0.02594	-0.0007203	4.89218	100.0
0.7943	0.026045985751359076	-2.007501935496093	0.02603	-0.0009124	4.89218	100.0
0.631	0.026115238157060718	-1.95739275888706	0.0261	-0.000892	4.89218	100.0
0.5012	0.026237991772428013	-2.1219450296499764	0.02622	-0.0009715	4.89218	100.0
0.3981	0.02637934229657745	-2.1942505097548373	0.02636	-0.00101	4.89218	100.0
0.3162	0.026471472493988697	-2.307911686497821	0.02645	-0.001066	4.89218	100.0
0.2512	0.02664334110054518	-2.398477579875737	0.02662	-0.001115	4.89218	100.0
0.1995	0.02675620967177526	-2.5362472223231856	0.02673	-0.001184	4.89218	100.0
0.1585	0.02694868176738892	-2.643688903484752	0.02692	-0.001243	4.89218	100.0
0.1259	0.027076321832922582	-2.9680774931787433	0.02704	-0.001402	4.89218	100.0
0.1	0.027253997945255667	-3.256095705524039	0.02721	-0.001548	4.89218	100.0
0.07943	0.027432786971068036	-3.5549680417438143	0.02738	-0.001701	4.89218	100.0
0.0631	0.027643187659891905	-3.874739114420766	0.02758	-0.001868	4.89218	100.0
0.05012	0.027896608324310682	-4.247167077913337	0.02782	-0.002066	4.89218	100.0
0.03981	0.028141621506231652	-4.624658666650926	0.02805	-0.002269	4.89218	100.0
0.03162	0.02847120994970182	-5.065799029342328	0.02836	-0.002514	4.89218	100.0
0.02512	0.028819778364866027	-5.645312356317571	0.02868	-0.002835	4.89218	100.0
0.01995	0.029137738141454973	-6.150836585298247	0.02897	-0.003122	4.89218	100.0
0.01585	0.02957686535114903	-6.780455777547579	0.02937	-0.003492	4.89218	100.0
0.01259	0.03005841793907324	-7.518436472132903	0.0298	-0.003933	4.89218	100.0
0.01	0.03062555019913928	-8.231964938127678	0.03031	-0.004385	4.89218	100.0
