Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.04075244532540348	43.07097550997889	0.02977	0.02783	4.88264	100.0
7943.0	0.03641388334138505	39.61821214353281	0.02805	0.02322	4.88264	100.0
6310.0	0.032781863888436846	35.61488482401995	0.02665	0.01909	4.88264	100.0
5012.0	0.029895225371286298	31.49952268749734	0.02549	0.01562	4.88264	100.0
3981.0	0.027423692311576136	26.92945190641786	0.02445	0.01242	4.88264	100.0
3162.0	0.0262223358990003	22.535826492196406	0.02422	0.01005	4.88264	100.0
2512.0	0.025084554929278694	18.2702647203238	0.02382	0.007864	4.88264	100.0
1995.0	0.0240547583650304	14.862373211930427	0.02325	0.00617	4.88264	100.0
1585.0	0.023628660330200696	11.307554720333792	0.02317	0.004633	4.88264	100.0
1259.0	0.02349110361392159	8.215990597352025	0.02325	0.003357	4.88264	100.0
1000.0	0.023463591711415367	5.640129418672063	0.02335	0.002306	4.88264	100.0
794.3	0.023544753152241797	3.533224147945279	0.0235	0.001451	4.88264	100.0
631.0	0.023919276519368222	1.59576955540763	0.02391	0.0006661	4.88264	100.0
501.2	0.024160486354583177	0.3635482253257818	0.02416	0.0001533	4.88264	100.0
398.1	0.024391288413898926	-0.5889112785500643	0.02439	-0.0002507	4.88264	100.0
316.2	0.02462687335493485	-1.3537157405597178	0.02462	-0.0005818	4.88264	100.0
251.2	0.02487494008032984	-1.9858882857059126	0.02486	-0.000862	4.88264	100.0
199.5	0.02514355074367978	-2.480050609159125	0.02512	-0.001088	4.88264	100.0
158.5	0.025402219214076555	-2.886058872152168	0.02537	-0.001279	4.88264	100.0
125.9	0.02567008484598366	-3.2023634327421364	0.02563	-0.001434	4.88264	100.0
100.0	0.02594748082184473	-3.4666930680180674	0.0259	-0.001569	4.88264	100.0
79.43	0.0262646216230122	-3.695810121515243	0.02621	-0.001693	4.88264	100.0
63.1	0.026561945881279105	-3.913797424218919	0.0265	-0.001813	4.88264	100.0
52.0	0.02684049246940152	-4.1534486827049415	0.02677	-0.001944	4.88264	100.0
39.81	0.027094361701283903	-4.245923891796843	0.02702	-0.002006	4.88264	100.0
31.62	0.027361709906363673	-4.4290594131670815	0.02728	-0.002113	4.88264	100.0
25.12	0.0276616593862335	-4.665594428894075	0.02757	-0.00225	4.88264	100.0
19.95	0.027942485233064005	-4.908723732898554	0.02784	-0.002391	4.88264	100.0
15.85	0.02820961050776845	-5.2780964820666085	0.02809	-0.002595	4.88264	100.0
12.59	0.02853319338945432	-5.742562322939289	0.02839	-0.002855	4.88264	100.0
10.0	0.02893685381999916	-6.155863148010788	0.02877	-0.003103	4.88264	100.0
7.943	0.029329105271044324	-6.8458768228126665	0.02912	-0.003496	4.88264	100.0
6.31	0.029741678180627264	-7.459065302656099	0.02949	-0.003861	4.88264	100.0
5.012	0.03031230113336828	-8.231681030109797	0.03	-0.00434	4.88264	100.0
3.981	0.030946707886300284	-9.06724184067736	0.03056	-0.004877	4.88264	100.0
3.162	0.03177351452074511	-9.904042230305164	0.0313	-0.005465	4.88264	100.0
2.512	0.03267743104957916	-10.598113485831473	0.03212	-0.00601	4.88264	100.0
1.995	0.03369120158142182	-11.369965749948435	0.03303	-0.006642	4.88264	100.0
1.585	0.03491027092418505	-11.9794407618016	0.03415	-0.007246	4.88264	100.0
1.259	0.03618280387145253	-12.3907160585761	0.03534	-0.007764	4.88264	100.0
1.0	0.03765006751653973	-12.623223282668187	0.03674	-0.008228	4.88264	100.0
0.7943	0.039120795301220555	-12.856848555048563	0.03814	-0.008705	4.88264	100.0
0.631	0.0406275825517591	-12.787013572740737	0.03962	-0.008992	4.88264	100.0
0.5012	0.04210167394534331	-12.3335201887804	0.04113	-0.008993	4.88264	100.0
0.3981	0.04350011797685151	-11.9970603545381	0.04255	-0.009042	4.88264	100.0
0.3162	0.04486382952892006	-11.520319947711036	0.04396	-0.00896	4.88264	100.0
0.2512	0.04611771036163873	-11.067498992875818	0.04526	-0.008853	4.88264	100.0
0.1995	0.04735112775848111	-10.685809788371179	0.04653	-0.00878	4.88264	100.0
0.1585	0.04850141416494987	-10.364650400126658	0.04771	-0.008726	4.88264	100.0
0.1259	0.04957965877252485	-10.174402554434659	0.0488	-0.008758	4.88264	100.0
0.1	0.050689406398181466	-10.12498957781605	0.0499	-0.008911	4.88264	100.0
0.07943	0.05170565214751672	-10.127632556788427	0.0509	-0.009092	4.88264	100.0
0.0631	0.0527232653484209	-10.322050831829802	0.05187	-0.009447	4.88264	100.0
0.05012	0.053799060633063105	-10.663488140139615	0.05287	-0.009955	4.88264	100.0
0.03981	0.05484781217149869	-11.271007324977923	0.05379	-0.01072	4.88264	100.0
0.03162	0.05600156515669897	-12.03830593938893	0.05477	-0.01168	4.88264	100.0
0.02512	0.05722388487336385	-13.120696421780798	0.05573	-0.01299	4.88264	100.0
0.01995	0.05860076876628838	-14.477318111718533	0.05674	-0.01465	4.88264	100.0
0.01585	0.06025472927497061	-16.07078654634248	0.0579	-0.01668	4.88264	100.0
0.01259	0.06226950858967814	-18.094512719400807	0.05919	-0.01934	4.88264	100.0
0.01	0.06473805681359304	-20.3944506667775	0.06068	-0.02256	4.88264	100.0
