Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.046353408720395096	49.73388217682536	0.02996	0.03537	4.85867	100.0
7943.0	0.04048368560296851	46.200993455133556	0.02802	0.02922	4.85867	100.0
6310.0	0.03576815622869035	42.121756898145314	0.02653	0.02399	4.85867	100.0
5012.0	0.03203733134953659	37.69617020228217	0.02535	0.01959	4.85867	100.0
3981.0	0.028875304327400604	32.842526079171	0.02426	0.01566	4.85867	100.0
3162.0	0.02716882404521771	28.08365159277138	0.02397	0.01279	4.85867	100.0
2512.0	0.025620616698276408	23.363030593755852	0.02352	0.01016	4.85867	100.0
1995.0	0.024250951012279906	19.49966466935777	0.02286	0.008095	4.85867	100.0
1585.0	0.02358961881845487	15.605759605022653	0.02272	0.006346	4.85867	100.0
1259.0	0.023214845336551354	12.089241005520659	0.0227	0.004862	4.85867	100.0
1000.0	0.023008149947355613	9.233880488312451	0.02271	0.003692	4.85867	100.0
794.3	0.022935821524418958	6.893867540389057	0.02277	0.002753	4.85867	100.0
631.0	0.02315897927370721	4.73323417409012	0.02308	0.001911	4.85867	100.0
501.2	0.02323936109276673	3.3351888387872815	0.0232	0.001352	4.85867	100.0
398.1	0.023328644543779222	2.2908554490860102	0.02331	0.0009325	4.85867	100.0
316.2	0.023417698011546736	1.469151918125782	0.02341	0.0006004	4.85867	100.0
251.2	0.023532357629655384	0.8110475730354825	0.02353	0.0003331	4.85867	100.0
199.5	0.02364029700003788	0.2872035958546885	0.02364	0.0001185	4.85867	100.0
158.5	0.02373001296957294	-0.05990340378305404	0.02373	-2.481e-05	4.85867	100.0
125.9	0.02384035498917749	-0.312672270043656	0.02384	-0.0001301	4.85867	100.0
100.0	0.02395077521271493	-0.4609878275578749	0.02395	-0.0001927	4.85867	100.0
79.43	0.024081135961785523	-0.556522482139715	0.02408	-0.0002339	4.85867	100.0
63.1	0.02415149922489285	-0.638412264427259	0.02415	-0.0002691	4.85867	100.0
52.0	0.024181053337065366	-0.5347924686584631	0.02418	-0.0002257	4.85867	100.0
39.81	0.024301365347650733	-0.6073596693637956	0.0243	-0.0002576	4.85867	100.0
31.62	0.024341428423369074	-0.6207192259185477	0.02434	-0.0002637	4.85867	100.0
25.12	0.024371445118416758	-0.6239515289863108	0.02437	-0.0002654	4.85867	100.0
19.95	0.02442116366105432	-0.5593316921213616	0.02442	-0.0002384	4.85867	100.0
15.85	0.024471253651784982	-0.5799623977232586	0.02447	-0.0002477	4.85867	100.0
12.59	0.024481656623684594	-0.6665482786169444	0.02448	-0.0002848	4.85867	100.0
10.0	0.024511470626015077	-0.6276336783985991	0.02451	-0.0002685	4.85867	100.0
7.943	0.024551801293591472	-0.6940501576576334	0.02455	-0.0002974	4.85867	100.0
6.31	0.024572020429952438	-0.7347541899756924	0.02457	-0.0003151	4.85867	100.0
5.012	0.024622269523543114	-0.77793672072995	0.02462	-0.0003343	4.85867	100.0
3.981	0.024662524980423234	-0.819882419714953	0.02466	-0.0003529	4.85867	100.0
3.162	0.024702858653200443	-0.8716636744125228	0.0247	-0.0003758	4.85867	100.0
2.512	0.024744268672967484	-1.0642729018991608	0.02474	-0.0004596	4.85867	100.0
1.995	0.024824396787031903	-1.0783814369391487	0.02482	-0.0004672	4.85867	100.0
1.585	0.024807093466184222	-1.3702168042156846	0.0248	-0.0005932	4.85867	100.0
1.259	0.02491896047671331	-1.5365660807285288	0.02491	-0.0006682	4.85867	100.0
1.0	0.02499981600432291	-1.605649712289077	0.02499	-0.0007005	4.85867	100.0
0.7943	0.02504696818459272	-2.109124706982841	0.02503	-0.0009218	4.85867	100.0
0.631	0.025208153289164204	-2.1745572379991827	0.02519	-0.0009565	4.85867	100.0
0.5012	0.025322955672669806	-2.439822645464991	0.0253	-0.001078	4.85867	100.0
0.3981	0.025465709022134058	-2.574773714835932	0.02544	-0.001144	4.85867	100.0
0.3162	0.02561944737889559	-2.7473733494765833	0.02559	-0.001228	4.85867	100.0
0.2512	0.02576518224270886	-2.994554436918454	0.02573	-0.001346	4.85867	100.0
0.1995	0.02592148830603675	-3.242115313136391	0.02588	-0.001466	4.85867	100.0
0.1585	0.026119482173274415	-3.527348080662917	0.02607	-0.001607	4.85867	100.0
0.1259	0.026320190747789043	-3.8756163791502503	0.02626	-0.001779	4.85867	100.0
0.1	0.0265175821673093	-4.091466555397056	0.02645	-0.001892	4.85867	100.0
0.07943	0.026721462927766514	-4.741917768391718	0.02663	-0.002209	4.85867	100.0
0.0631	0.027028555270306256	-5.136852944486421	0.02692	-0.00242	4.85867	100.0
0.05012	0.027377057840461967	-5.735582572199595	0.02724	-0.002736	4.85867	100.0
0.03981	0.027685645667023914	-6.270715756555547	0.02752	-0.003024	4.85867	100.0
0.03162	0.028053754205097044	-6.909691121504458	0.02785	-0.003375	4.85867	100.0
0.02512	0.028439215196625945	-7.741756025453894	0.02818	-0.003831	4.85867	100.0
0.01995	0.028928921514636524	-8.648285204850641	0.0286	-0.00435	4.85867	100.0
0.01585	0.029528364482307515	-9.656270869248466	0.02911	-0.004953	4.85867	100.0
0.01259	0.03014892576859083	-10.849638016957016	0.02961	-0.005675	4.85867	100.0
0.01	0.030937191679271732	-12.274294501411505	0.03023	-0.006577	4.85867	100.0
