Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.041078467595566416	41.57562388119859	0.03073	0.02726	4.08719	83.75
7943.0	0.036909241390199285	37.83550031238985	0.02915	0.02264	4.08719	83.75
6310.0	0.03344581438685564	33.870615864561266	0.02777	0.01864	4.08719	83.75
5012.0	0.030727461658913515	29.47659478143904	0.02675	0.01512	4.08719	83.75
3981.0	0.028408238241749522	25.031514721278658	0.02574	0.01202	4.08719	83.75
3162.0	0.02732946900325727	20.73075236804946	0.02556	0.009674	4.08719	83.75
2512.0	0.02628052822909007	16.563510106325047	0.02519	0.007492	4.08719	83.75
1995.0	0.025318359761248355	13.194259938523365	0.02465	0.005779	4.08719	83.75
1585.0	0.024994157337265843	9.79245584793373	0.02463	0.004251	4.08719	83.75
1259.0	0.024934526765110262	6.782998596054042	0.02476	0.002945	4.08719	83.75
1000.0	0.024979419949230208	4.2725704370984605	0.02491	0.001861	4.08719	83.75
794.3	0.02515929295528791	2.2439622657293725	0.02514	0.0009851	4.08719	83.75
631.0	0.025620488427038235	0.3537891147123285	0.02562	0.0001582	4.08719	83.75
501.2	0.02594277587788169	-0.8381725991092743	0.02594	-0.0003795	4.08719	83.75
398.1	0.026282318793439823	-1.7543120320890202	0.02627	-0.0008046	4.08719	83.75
316.2	0.026604736589562392	-2.470937245712316	0.02658	-0.001147	4.08719	83.75
251.2	0.026968418956253258	-3.058681379253988	0.02693	-0.001439	4.08719	83.75
199.5	0.027331007317696873	-3.5010121672833763	0.02728	-0.001669	4.08719	83.75
158.5	0.027661398446210197	-3.818208311386007	0.0276	-0.001842	4.08719	83.75
125.9	0.02803208306565889	-4.1097904310321205	0.02796	-0.002009	4.08719	83.75
100.0	0.02840036311387585	-4.311282920711756	0.02832	-0.002135	4.08719	83.75
79.43	0.028809885039687334	-4.5271361295018595	0.02872	-0.002274	4.08719	83.75
63.1	0.029176173309740264	-4.653397106188144	0.02908	-0.002367	4.08719	83.75
52.0	0.029507438316465222	-4.657537322157214	0.02941	-0.002396	4.08719	83.75
39.81	0.029891464350212085	-4.949565515537247	0.02978	-0.002579	4.08719	83.75
31.62	0.030297788054575864	-5.053864493657051	0.03018	-0.002669	4.08719	83.75
25.12	0.030621147284189076	-5.304710369858906	0.03049	-0.002831	4.08719	83.75
19.95	0.030976005488119348	-5.56519324334489	0.03083	-0.003004	4.08719	83.75
15.85	0.03141660848977815	-5.723295973440776	0.03126	-0.003133	4.08719	83.75
12.59	0.03179115318764011	-6.119471564306212	0.03161	-0.003389	4.08719	83.75
10.0	0.03224497635291426	-6.463813394187679	0.03204	-0.00363	4.08719	83.75
7.943	0.032794123497968355	-6.995426351687047	0.03255	-0.003994	4.08719	83.75
6.31	0.03336335296399329	-7.472647817394224	0.03308	-0.004339	4.08719	83.75
5.012	0.03409798269692798	-7.953302228657148	0.03377	-0.004718	4.08719	83.75
3.981	0.034876373507003275	-8.536451882850855	0.03449	-0.005177	4.08719	83.75
3.162	0.03583706948119503	-9.059650031562333	0.03539	-0.005643	4.08719	83.75
2.512	0.03682178117636353	-9.27865054185985	0.03634	-0.005937	4.08719	83.75
1.995	0.03796318402083787	-9.431555513022783	0.03745	-0.006221	4.08719	83.75
1.585	0.039074703121073105	-9.400128582473403	0.03855	-0.006382	4.08719	83.75
1.259	0.04027036728166258	-9.131581233888461	0.03976	-0.006391	4.08719	83.75
1.0	0.041401826094992475	-8.74973959252846	0.04092	-0.006298	4.08719	83.75
0.7943	0.04238557095286083	-8.500018748328493	0.04192	-0.006265	4.08719	83.75
0.631	0.043350627446439575	-7.79552407608236	0.04295	-0.00588	4.08719	83.75
0.5012	0.044198199838907465	-7.196729093631944	0.04385	-0.005537	4.08719	83.75
0.3981	0.0449121074544493	-6.538270756318723	0.04462	-0.005114	4.08719	83.75
0.3162	0.0455032409395199	-6.047627669313592	0.04525	-0.004794	4.08719	83.75
0.2512	0.046028540059402274	-5.5854933810251	0.04581	-0.00448	4.08719	83.75
0.1995	0.04647850127747236	-5.2972188127323045	0.04628	-0.004291	4.08719	83.75
0.1585	0.04692582640721418	-5.1006885010387695	0.04674	-0.004172	4.08719	83.75
0.1259	0.04726045150017084	-5.008494819270646	0.04708	-0.004126	4.08719	83.75
0.1	0.047647422637536234	-5.083600434029222	0.04746	-0.004222	4.08719	83.75
0.07943	0.04801637126022748	-5.314020684238263	0.04781	-0.004447	4.08719	83.75
0.0631	0.04843943415235154	-5.578773142735626	0.04821	-0.004709	4.08719	83.75
0.05012	0.04888638441324946	-6.095442908591111	0.04861	-0.005191	4.08719	83.75
0.03981	0.04942235712711404	-6.648475635436136	0.04909	-0.005722	4.08719	83.75
0.03162	0.05002342275374608	-7.371360911676646	0.04961	-0.006418	4.08719	83.75
0.02512	0.05072154399266647	-8.223557070500815	0.0502	-0.007255	4.08719	83.75
0.01995	0.05147034467535651	-9.32616581490346	0.05079	-0.008341	4.08719	83.75
0.01585	0.052344211294086763	-10.605803729802993	0.05145	-0.009634	4.08719	83.75
0.01259	0.05344249245684561	-12.075288583193544	0.05226	-0.01118	4.08719	83.75
0.01	0.05487399475161253	-13.843781020856863	0.05328	-0.01313	4.08719	83.75
