Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.04630466499176946	49.747656361933956	0.02992	0.03534	4.85867	100.0
7943.0	0.040567376055150525	46.118603899440664	0.02812	0.02924	4.85867	100.0
6310.0	0.035869176182343525	42.062012671099524	0.02663	0.02403	4.85867	100.0
5012.0	0.032104320581504295	37.55879880860916	0.02545	0.01957	4.85867	100.0
3981.0	0.028943159813676185	32.685270445370286	0.02436	0.01563	4.85867	100.0
3162.0	0.0272295078912565	27.920243161946	0.02406	0.01275	4.85867	100.0
2512.0	0.02567828654719781	23.2103098384005	0.0236	0.01012	4.85867	100.0
1995.0	0.024345045820453902	19.34891225789143	0.02297	0.008066	4.85867	100.0
1585.0	0.023683038255257707	15.424654320700578	0.02283	0.006299	4.85867	100.0
1259.0	0.023326378973171125	11.960259383636032	0.02282	0.004834	4.85867	100.0
1000.0	0.023139211503419903	9.06827160577519	0.02285	0.003647	4.85867	100.0
794.3	0.02306878635732708	6.72637808087956	0.02291	0.002702	4.85867	100.0
631.0	0.023305627560741636	4.617052229895454	0.02323	0.001876	4.85867	100.0
501.2	0.023387337193447228	3.2379927474567616	0.02335	0.001321	4.85867	100.0
398.1	0.0234871464271418	2.1894536015532133	0.02347	0.0008973	4.85867	100.0
316.2	0.02358658009144183	1.353415680915705	0.02358	0.0005571	4.85867	100.0
251.2	0.023691909603069144	0.7274649374070058	0.02369	0.0003008	4.85867	100.0
199.5	0.023820170667501524	0.21689067007730267	0.02382	9.017e-05	4.85867	100.0
158.5	0.023910039370358637	-0.10397579021455564	0.02391	-4.339e-05	4.85867	100.0
125.9	0.024030449009745946	-0.3502557288825024	0.02403	-0.0001469	4.85867	100.0
100.0	0.024140973514752882	-0.5145563813890985	0.02414	-0.0002168	4.85867	100.0
79.43	0.024281276758029012	-0.587567915085062	0.02428	-0.000249	4.85867	100.0
63.1	0.02434157500265749	-0.6517878788094122	0.02434	-0.0002769	4.85867	100.0
52.0	0.024361736859468786	-0.6841769314224379	0.02436	-0.0002909	4.85867	100.0
39.81	0.024491577817690718	-0.6503692362888923	0.02449	-0.000278	4.85867	100.0
31.62	0.024521518599181415	-0.6376579390662033	0.02452	-0.0002729	4.85867	100.0
25.12	0.024551497906237816	-0.6329117465145105	0.02455	-0.0002712	4.85867	100.0
19.95	0.024621307107665913	-0.590390933944042	0.02462	-0.0002537	4.85867	100.0
15.85	0.024651422251870173	-0.615470135787102	0.02465	-0.0002648	4.85867	100.0
12.59	0.02469122150400826	-0.5699222090321266	0.02469	-0.0002456	4.85867	100.0
10.0	0.02469129519506824	-0.5868609115771142	0.02469	-0.0002529	4.85867	100.0
7.943	0.024711187937652857	-0.5618098926203708	0.02471	-0.0002423	4.85867	100.0
6.31	0.024701792764089008	-0.6902995528578909	0.0247	-0.0002976	4.85867	100.0
5.012	0.024791268637163365	-0.5796406319867902	0.02479	-0.0002508	4.85867	100.0
3.981	0.024781429790066593	-0.6154782016854251	0.02478	-0.0002662	4.85867	100.0
3.162	0.024862182212348136	-0.7591361776862428	0.02486	-0.0003294	4.85867	100.0
2.512	0.024932376012726905	-0.7910130100707519	0.02493	-0.0003442	4.85867	100.0
1.995	0.024913106260761625	-0.9047886790520477	0.02491	-0.0003934	4.85867	100.0
1.585	0.024994200272063116	-1.0504195607875564	0.02499	-0.0004582	4.85867	100.0
1.259	0.02506412661634153	-1.0397150918351639	0.02506	-0.0004548	4.85867	100.0
1.0	0.02512591359552922	-1.2431141959128593	0.02512	-0.0005451	4.85867	100.0
0.7943	0.025190844940374667	-1.6813008369482665	0.02518	-0.0007391	4.85867	100.0
0.631	0.025261365942680143	-1.7188114214264496	0.02525	-0.0007577	4.85867	100.0
0.5012	0.025331824277181458	-1.7506873448514615	0.02532	-0.0007739	4.85867	100.0
0.3981	0.025472600205122365	-1.8022195729267643	0.02546	-0.0008011	4.85867	100.0
0.3162	0.02555544319494381	-1.9919864107933187	0.02554	-0.0008883	4.85867	100.0
0.2512	0.02564711838803728	-2.0935046718907238	0.02563	-0.0009369	4.85867	100.0
0.1995	0.025751293346160307	-2.330182813936681	0.02573	-0.001047	4.85867	100.0
0.1585	0.025913485080166273	-2.4395153012263915	0.02589	-0.001103	4.85867	100.0
0.1259	0.02600910033046126	-2.710593712379985	0.02598	-0.00123	4.85867	100.0
0.1	0.02616625745115262	-3.016585379275813	0.02613	-0.001377	4.85867	100.0
0.07943	0.026316218972337196	-3.3962496742803503	0.02627	-0.001559	4.85867	100.0
0.0631	0.02648967023199798	-3.8464471973361904	0.02643	-0.001777	4.85867	100.0
0.05012	0.026674259521118855	-4.276301542873731	0.0266	-0.001989	4.85867	100.0
0.03981	0.026903414281462493	-4.776021936755	0.02681	-0.00224	4.85867	100.0
0.03162	0.027141379773327663	-5.420718003280519	0.02702	-0.002564	4.85867	100.0
0.02512	0.027439362401484476	-6.1780863037779925	0.02728	-0.002953	4.85867	100.0
0.01995	0.0277925151974412	-6.9209638528117905	0.02759	-0.003349	4.85867	100.0
0.01585	0.028212400128312373	-7.968403639799814	0.02794	-0.003911	4.85867	100.0
0.01259	0.02869897602702926	-9.071746081686488	0.02834	-0.004525	4.85867	100.0
0.01	0.029305374063471702	-10.334050099383662	0.02883	-0.005257	4.85867	100.0
