Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.039931646597654843	41.73124854057922	0.0298	0.02658	4.8846	100.0
7943.0	0.03583984514475474	38.21289625579546	0.02816	0.02217	4.8846	100.0
6310.0	0.03243470363669136	34.219207962422196	0.02682	0.01824	4.8846	100.0
5012.0	0.029705529788239763	30.060675956898653	0.02571	0.01488	4.8846	100.0
3981.0	0.027364869815148036	25.54436152276572	0.02469	0.0118	4.8846	100.0
3162.0	0.02627419625792576	21.236504461651503	0.02449	0.009517	4.8846	100.0
2512.0	0.0251996779542914	16.988890466270895	0.0241	0.007363	4.8846	100.0
1995.0	0.02421463557437939	13.55647512620682	0.02354	0.005676	4.8846	100.0
1585.0	0.023864492975967457	10.026755498302458	0.0235	0.004155	4.8846	100.0
1259.0	0.02376978956574921	6.852346514240262	0.0236	0.002836	4.8846	100.0
1000.0	0.023835586609101945	4.251399643937301	0.02377	0.001767	4.8846	100.0
794.3	0.02399568620085702	2.0718274867271647	0.02398	0.0008675	4.8846	100.0
631.0	0.024480025595574852	0.0828541332093022	0.02448	3.54e-05	4.8846	100.0
501.2	0.024815598610752873	-1.2170924115706585	0.02481	-0.0005271	4.8846	100.0
398.1	0.025169012289122508	-2.227148066164026	0.02515	-0.0009781	4.8846	100.0
316.2	0.02552567141134587	-3.0294220248745254	0.02549	-0.001349	4.8846	100.0
251.2	0.025913545203233003	-3.6839125311105194	0.02586	-0.001665	4.8846	100.0
199.5	0.026320415574226784	-4.192011761265835	0.02625	-0.001924	4.8846	100.0
158.5	0.02670579938889679	-4.594024200924694	0.02662	-0.002139	4.8846	100.0
125.9	0.027118734188748557	-4.890672229196123	0.02702	-0.002312	4.8846	100.0
100.0	0.02754987048971374	-5.118737020292244	0.02744	-0.002458	4.8846	100.0
79.43	0.02801260473429774	-5.36257070901944	0.02789	-0.002618	4.8846	100.0
63.1	0.028421706299939137	-5.5180252576493585	0.02829	-0.002733	4.8846	100.0
52.0	0.02879259529809704	-5.70465291943634	0.02865	-0.002862	4.8846	100.0
39.81	0.029259296027074885	-5.7904812334052185	0.02911	-0.002952	4.8846	100.0
31.62	0.029677452872509124	-5.904618062996678	0.02952	-0.003053	4.8846	100.0
25.12	0.03009053008838495	-6.102791561343316	0.02992	-0.003199	4.8846	100.0
19.95	0.030493908178519855	-6.2957883245236435	0.03031	-0.003344	4.8846	100.0
15.85	0.03091335795412721	-6.5755712185154955	0.03071	-0.00354	4.8846	100.0
12.59	0.031358294421093766	-6.917877927343522	0.03113	-0.003777	4.8846	100.0
10.0	0.03182922895704513	-7.317479644657825	0.03157	-0.004054	4.8846	100.0
7.943	0.03231949170392381	-7.93555037008882	0.03201	-0.004462	4.8846	100.0
6.31	0.032797696321540636	-8.818415157950527	0.03241	-0.005028	4.8846	100.0
5.012	0.033455914215576296	-9.573251275375874	0.03299	-0.005564	4.8846	100.0
3.981	0.034195516021841225	-10.708584489479053	0.0336	-0.006354	4.8846	100.0
3.162	0.035124598446103265	-11.738612689841876	0.03439	-0.007146	4.8846	100.0
2.512	0.036283398407536194	-12.883358394444235	0.03537	-0.00809	4.8846	100.0
1.995	0.037499247045774134	-14.159274322783723	0.03636	-0.009173	4.8846	100.0
1.585	0.039122152292531145	-15.386136039830697	0.03772	-0.01038	4.8846	100.0
1.259	0.04097564276494025	-16.34298342996964	0.03932	-0.01153	4.8846	100.0
1.0	0.04314913904123696	-17.242334010136872	0.04121	-0.01279	4.8846	100.0
0.7943	0.045543572543225025	-18.18033795280437	0.04327	-0.01421	4.8846	100.0
0.631	0.048193204915216004	-18.32216200105969	0.04575	-0.01515	4.8846	100.0
0.5012	0.05096677054709274	-18.225205329035173	0.04841	-0.01594	4.8846	100.0
0.3981	0.053838255915287604	-17.76859233490391	0.05127	-0.01643	4.8846	100.0
0.3162	0.05658800226196362	-17.12208363866412	0.05408	-0.01666	4.8846	100.0
0.2512	0.05933284082192593	-16.327415162310487	0.05694	-0.01668	4.8846	100.0
0.1995	0.06198741162526469	-15.475623189532946	0.05974	-0.01654	4.8846	100.0
0.1585	0.06440376464151766	-14.614511367309536	0.06232	-0.01625	4.8846	100.0
0.1259	0.06660839962046829	-13.748337884973507	0.0647	-0.01583	4.8846	100.0
0.1	0.06866463573048358	-13.05465819372701	0.06689	-0.01551	4.8846	100.0
0.07943	0.07065106510166708	-12.448762380941993	0.06899	-0.01523	4.8846	100.0
0.0631	0.07246641152975632	-12.010820222702538	0.07088	-0.01508	4.8846	100.0
0.05012	0.07417734694635554	-11.761357279524391	0.07262	-0.01512	4.8846	100.0
0.03981	0.07590216070705762	-11.644506888500423	0.07434	-0.01532	4.8846	100.0
0.03162	0.07753321159348424	-11.780949317133809	0.0759	-0.01583	4.8846	100.0
0.02512	0.07930466947160172	-12.075077690386834	0.07755	-0.01659	4.8846	100.0
0.01995	0.08114952433625228	-12.649041672199669	0.07918	-0.01777	4.8846	100.0
0.01585	0.08294580700674387	-13.511853788737428	0.08065	-0.01938	4.8846	100.0
0.01259	0.08527658822912652	-14.554448225666302	0.08254	-0.02143	4.8846	100.0
0.01	0.08801378187534041	-15.939136510286943	0.08463	-0.02417	4.8846	100.0
