Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.04321903515813374	46.50003766384582	0.02975	0.03135	4.63286	95.2
7943.0	0.03817594137673622	42.82391349797833	0.028	0.02595	4.63286	95.2
6310.0	0.03409126721024022	38.7962952621552	0.02657	0.02136	4.63286	95.2
5012.0	0.030795748083136412	34.26801129439255	0.02545	0.01734	4.63286	95.2
3981.0	0.027996165808910334	29.485959240871654	0.02437	0.01378	4.63286	95.2
3162.0	0.026572483888413594	24.809777659939186	0.02412	0.01115	4.63286	95.2
2512.0	0.025264473158963754	20.137722909009444	0.02372	0.008698	4.63286	95.2
1995.0	0.024119606132770907	16.301063065854166	0.02315	0.00677	4.63286	95.2
1585.0	0.023642648413407494	12.412625504693487	0.02309	0.005082	4.63286	95.2
1259.0	0.023465299998082275	8.943684482564427	0.02318	0.003648	4.63286	95.2
1000.0	0.02345181632624646	6.077677073553926	0.02332	0.002483	4.63286	95.2
794.3	0.02357023215838147	3.741310730751878	0.02352	0.001538	4.63286	95.2
631.0	0.023989509481437923	1.6133170035958002	0.02398	0.0006754	4.63286	95.2
501.2	0.024270225403980078	0.24693454595770825	0.02427	0.0001046	4.63286	95.2
398.1	0.024552416994055797	-0.8039552183239079	0.02455	-0.0003445	4.63286	95.2
316.2	0.02483954094905943	-1.5880915617809204	0.02483	-0.0006884	4.63286	95.2
251.2	0.025168326843276648	-2.186656913292026	0.02515	-0.0009603	4.63286	95.2
199.5	0.02546758380765635	-2.6669205167323664	0.02544	-0.001185	4.63286	95.2
158.5	0.0257547790516634	-2.9779436001022144	0.02572	-0.001338	4.63286	95.2
125.9	0.026071587677009622	-3.236636806724246	0.02603	-0.001472	4.63286	95.2
100.0	0.026365718347885005	-3.3746276906017822	0.02632	-0.001552	4.63286	95.2
79.43	0.026709966098817872	-3.5051483934026892	0.02666	-0.001633	4.63286	95.2
63.1	0.027022523124238418	-3.5728956018891815	0.02697	-0.001684	4.63286	95.2
52.0	0.027147501837185683	-3.7298403447333275	0.02709	-0.001766	4.63286	95.2
39.81	0.02764165011355147	-3.5031516368583024	0.02759	-0.001689	4.63286	95.2
31.62	0.02791169654463877	-3.487725728344969	0.02786	-0.001698	4.63286	95.2
25.12	0.02818891980903135	-3.3760091642185115	0.02814	-0.00166	4.63286	95.2
19.95	0.02841519494918168	-3.231951545790937	0.02837	-0.001602	4.63286	95.2
15.85	0.02867998947001201	-3.0260175061448455	0.02864	-0.001514	4.63286	95.2
12.59	0.028935853192881663	-2.8525170963754074	0.0289	-0.00144	4.63286	95.2
10.0	0.029178133267911435	-2.5162504805303056	0.02915	-0.001281	4.63286	95.2
7.943	0.02931657558447098	-2.439805666247214	0.02929	-0.001248	4.63286	95.2
6.31	0.029521481602385744	-2.1858896344576353	0.0295	-0.001126	4.63286	95.2
5.012	0.029619333213291618	-2.070263561767131	0.0296	-0.00107	4.63286	95.2
3.981	0.029745810093019822	-1.8681475732075696	0.02973	-0.0009697	4.63286	95.2
3.162	0.029884115489001845	-1.7610937964187998	0.02987	-0.0009184	4.63286	95.2
2.512	0.029971028827853075	-1.5544072104353834	0.02996	-0.000813	4.63286	95.2
1.995	0.030061479712249695	-1.5834770589616218	0.03005	-0.0008307	4.63286	95.2
1.585	0.030131735974052342	-1.5991868905856714	0.03012	-0.0008409	4.63286	95.2
1.259	0.03025170888660672	-1.5941694521342915	0.03024	-0.0008416	4.63286	95.2
1.0	0.030323570541906836	-1.7142030150155236	0.03031	-0.0009071	4.63286	95.2
0.7943	0.03042924290875473	-2.0377472058068613	0.03041	-0.001082	4.63286	95.2
0.631	0.030530881759294148	-2.1192210324698366	0.03051	-0.001129	4.63286	95.2
0.5012	0.030651207154042074	-2.1314741867151614	0.03063	-0.00114	4.63286	95.2
0.3981	0.03081237374822005	-2.1835880449520437	0.03079	-0.001174	4.63286	95.2
0.3162	0.030964043663578567	-2.2580690726427517	0.03094	-0.00122	4.63286	95.2
0.2512	0.031106511472680443	-2.3657004487671376	0.03108	-0.001284	4.63286	95.2
0.1995	0.031261185454169844	-2.559452391288733	0.03123	-0.001396	4.63286	95.2
0.1585	0.03144326662419158	-2.6358243421236236	0.03141	-0.001446	4.63286	95.2
0.1259	0.0315912566385068	-2.9285212154507057	0.03155	-0.001614	4.63286	95.2
0.1	0.031727967725651764	-3.1509810906863347	0.03168	-0.001744	4.63286	95.2
0.07943	0.0319171408650587	-3.4289713735673146	0.03186	-0.001909	4.63286	95.2
0.0631	0.03212116543651554	-3.81466809709833	0.03205	-0.002137	4.63286	95.2
0.05012	0.03234323137845073	-4.351423548931423	0.03225	-0.002454	4.63286	95.2
0.03981	0.03260106821869492	-4.939366859261982	0.03248	-0.002807	4.63286	95.2
0.03162	0.03295895932823122	-5.449396906081165	0.03281	-0.00313	4.63286	95.2
0.02512	0.03332227417209095	-6.316266763311786	0.03312	-0.003666	4.63286	95.2
0.01995	0.033720083036671185	-7.120801254411273	0.03346	-0.00418	4.63286	95.2
0.01585	0.03424504053144046	-8.140276744688942	0.0339	-0.004849	4.63286	95.2
0.01259	0.03482757569800114	-9.297884013015636	0.03437	-0.005627	4.63286	95.2
0.01	0.03558274195449249	-10.648340503771314	0.03497	-0.006575	4.63286	95.2
