Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.04081581188706161	43.08390314514851	0.02981	0.02788	4.88264	100.0
7943.0	0.03644470469080522	39.57811222941011	0.02809	0.02322	4.88264	100.0
6310.0	0.03279812494640509	35.59453897081068	0.02667	0.01909	4.88264	100.0
5012.0	0.029880992286067075	31.38139041417572	0.02551	0.01556	4.88264	100.0
3981.0	0.027419039005771154	26.86409673174616	0.02446	0.01239	4.88264	100.0
3162.0	0.026251638044129742	22.46204885949096	0.02426	0.01003	4.88264	100.0
2512.0	0.02510911469964642	18.148475920555867	0.02386	0.007821	4.88264	100.0
1995.0	0.024067439332010374	14.69679078195156	0.02328	0.006106	4.88264	100.0
1585.0	0.023669315579458568	11.181754210196678	0.02322	0.00459	4.88264	100.0
1259.0	0.02351969262129078	8.01400129367061	0.02329	0.003279	4.88264	100.0
1000.0	0.023507350680159602	5.477767560642493	0.0234	0.002244	4.88264	100.0
794.3	0.02361024743622989	3.3459402740998487	0.02357	0.001378	4.88264	100.0
631.0	0.024007243617083576	1.4075218422662326	0.024	0.0005897	4.88264	100.0
501.2	0.024240063284820444	0.13092441021224901	0.02424	5.539e-05	4.88264	100.0
398.1	0.024492769236858457	-0.8615943226416071	0.02449	-0.0003683	4.88264	100.0
316.2	0.024740192845044678	-1.6447455221018805	0.02473	-0.0007101	4.88264	100.0
251.2	0.025010040003966404	-2.293814755504936	0.02499	-0.001001	4.88264	100.0
199.5	0.025311182034824055	-2.844318581349547	0.02528	-0.001256	4.88264	100.0
158.5	0.025581184511277034	-3.251640670003133	0.02554	-0.001451	4.88264	100.0
125.9	0.025891548601812135	-3.6160892659483306	0.02584	-0.001633	4.88264	100.0
100.0	0.0261999920610675	-3.878080735950828	0.02614	-0.001772	4.88264	100.0
79.43	0.02657055183845454	-4.1762612132140005	0.0265	-0.001935	4.88264	100.0
63.1	0.026888490270002143	-4.378930325841802	0.02681	-0.002053	4.88264	100.0
52.0	0.02715040780540874	-4.4106825063416135	0.02707	-0.002088	4.88264	100.0
39.81	0.02754328820239152	-4.716998671260294	0.02745	-0.002265	4.88264	100.0
31.62	0.027861752295934298	-4.898214345886839	0.02776	-0.002379	4.88264	100.0
25.12	0.028124659446827086	-5.17543157290271	0.02801	-0.002537	4.88264	100.0
19.95	0.02845884616424215	-5.4541706688904465	0.02833	-0.002705	4.88264	100.0
15.85	0.028758117549658912	-5.817645314493483	0.02861	-0.002915	4.88264	100.0
12.59	0.029083059055058154	-6.253603516632966	0.02891	-0.003168	4.88264	100.0
10.0	0.029481967793890555	-6.710404486143055	0.02928	-0.003445	4.88264	100.0
7.943	0.029937617824402796	-7.521923076850528	0.02968	-0.003919	4.88264	100.0
6.31	0.030427048180853827	-8.278433888244136	0.03011	-0.004381	4.88264	100.0
5.012	0.03101497631790165	-9.153757591321067	0.03062	-0.004934	4.88264	100.0
3.981	0.03168385683593461	-10.231737924504824	0.03118	-0.005628	4.88264	100.0
3.162	0.03254626424030875	-11.347910075183393	0.03191	-0.006404	4.88264	100.0
2.512	0.033594279885123306	-12.325133486690758	0.03282	-0.007171	4.88264	100.0
1.995	0.03477390287270039	-13.451192962709207	0.03382	-0.008089	4.88264	100.0
1.585	0.03628156348615644	-14.537229313455644	0.03512	-0.009107	4.88264	100.0
1.259	0.03789609842714683	-15.259627237316142	0.03656	-0.009974	4.88264	100.0
1.0	0.039767284292493495	-15.878107876058365	0.03825	-0.01088	4.88264	100.0
0.7943	0.04171553187962489	-16.488753705891256	0.04	-0.01184	4.88264	100.0
0.631	0.043911895882551004	-16.470537243869003	0.04211	-0.01245	4.88264	100.0
0.5012	0.04610720117291875	-16.273128418639857	0.04426	-0.01292	4.88264	100.0
0.3981	0.04825626798665641	-15.81329177873073	0.04643	-0.01315	4.88264	100.0
0.3162	0.05042206858112824	-15.235186270564588	0.04865	-0.01325	4.88264	100.0
0.2512	0.052461286678845385	-14.674632272466347	0.05075	-0.01329	4.88264	100.0
0.1995	0.05434010765539576	-14.026014362118962	0.05272	-0.01317	4.88264	100.0
0.1585	0.05605735009791312	-13.493347994083212	0.05451	-0.01308	4.88264	100.0
0.1259	0.0578474718548702	-13.10894391019521	0.05634	-0.01312	4.88264	100.0
0.1	0.059440562749691395	-12.771367907605573	0.05797	-0.01314	4.88264	100.0
0.07943	0.06095320172066435	-12.622608104303055	0.05948	-0.01332	4.88264	100.0
0.0631	0.0623832485527966	-12.77088427444481	0.06084	-0.01379	4.88264	100.0
0.05012	0.06395229550219445	-13.01274772959118	0.06231	-0.0144	4.88264	100.0
0.03981	0.06535309709570006	-13.602466674298928	0.06352	-0.01537	4.88264	100.0
0.03162	0.06699510803036293	-14.469759846285868	0.06487	-0.01674	4.88264	100.0
0.02512	0.06865031682374087	-15.789483163712992	0.06606	-0.01868	4.88264	100.0
0.01995	0.07055934027469361	-17.374369943867972	0.06734	-0.02107	4.88264	100.0
0.01585	0.07306899547687788	-19.424376322242566	0.06891	-0.0243	4.88264	100.0
0.01259	0.07585338489480875	-22.020223091670044	0.07032	-0.02844	4.88264	100.0
0.01	0.07929076175696637	-24.84882505972139	0.07195	-0.03332	4.88264	100.0
